isoform_id	gene	transcript_id	biotype	GABA_pct	GABA_mean	other_pct	other_mean	logFC	n_GABA_detected	n_other_detected
Kcnj10-201	Kcnj10	ENSMUST00000056136	protein_coding	0.992063492063492	0.0692246487910683	25.2665435701948	1.83682072690038	-4.72976113219684	10	4242
Neat1-202	Neat1	ENSMUST00000174287	lincRNA	0.496031746031746	0.0363196169574954	11.9721246053964	0.873595706880545	-4.58810680368634	5	2010
Mobp-202	Mobp	ENSMUST00000093773	protein_coding	0.694444444444445	0.0472243848084091	14.9621776162964	1.1189519282262	-4.56644298427763	7	2512
Tspan15-201	Tspan15	ENSMUST00000047883	protein_coding	0.595238095238095	0.0409663723899873	13.5743641670141	0.949328436853047	-4.53436155125512	6	2279
Gjc3-201	Gjc3	ENSMUST00000077119	protein_coding	0.694444444444445	0.0512657177391428	15.956876526297	1.1850318488934	-4.53076070599913	7	2679
Pon2-201	Pon2	ENSMUST00000057792	protein_coding	0.496031746031746	0.0361714042269227	11.7160045267735	0.825980902249603	-4.51314877555337	5	1967
Epas1-201	Epas1	ENSMUST00000024954	protein_coding	0.496031746031746	0.0347276914617412	10.5366609089285	0.77933123764311	-4.48803853798133	5	1769
Ugt8a-202	Ugt8a	ENSMUST00000196481	retained_intron	0.793650793650794	0.0588673642075214	17.2851271665972	1.31983357744286	-4.48672076969641	8	2902
Slc44a1-201	Slc44a1	ENSMUST00000102911	protein_coding	0.496031746031746	0.0345195808512967	10.8225623920424	0.743447601259694	-4.42870435923129	5	1817
Ntsr2-201	Ntsr2	ENSMUST00000111064	protein_coding	1.09126984126984	0.0765734949981523	20.5551253797129	1.5992378930555	-4.38437770593539	11	3451
Tst-201	Tst	ENSMUST00000058659	protein_coding	0.892857142857143	0.0644535388949716	17.7794984811484	1.33477782623833	-4.37217493904818	9	2985
Prdx6b-201	Prdx6b	ENSMUST00000057072	protein_coding	1.48809523809524	0.106074442899864	24.0455059860623	1.86306568290998	-4.13451670468549	15	4037
S1pr3-201	S1pr3	ENSMUST00000087978	protein_coding	0.694444444444445	0.0486244086859862	11.2752397403062	0.848312502977305	-4.12481524531614	7	1893
Zfp36l1-201	Zfp36l1	ENSMUST00000021552	protein_coding	0.694444444444445	0.0483626642780691	11.0608136279707	0.808887332885864	-4.06394509242768	7	1857
Reep3-202	Reep3	ENSMUST00000217841	protein_coding	0.892857142857143	0.0602711381978599	14.4380248972542	1.00309024994628	-4.05681779548924	9	2424
Gatm-201	Gatm	ENSMUST00000028624	protein_coding	1.28968253968254	0.0928315814136112	20.8112454583358	1.52276994607531	-4.03592390262015	13	3494
Atp1a2-201	Atp1a2	ENSMUST00000085913	protein_coding	1.98412698412698	0.15237494775881	29.6801477157663	2.45697306064793	-4.01117552725283	20	4983
Cers2-201	Cers2	ENSMUST00000015858	protein_coding	0.793650793650794	0.0535583689075964	12.4903210435404	0.860533907982287	-4.00602285048443	8	2097
Tmem100-201	Tmem100	ENSMUST00000092788	protein_coding	0.694444444444445	0.0496676012129794	10.6974804931801	0.788104091734606	-3.98798199938176	7	1796
Plpp3-201	Plpp3	ENSMUST00000064139	protein_coding	2.67857142857143	0.192253484507313	37.2207993328965	3.04684495142548	-3.98622740334587	27	6249
Aqp4-201	Aqp4	ENSMUST00000079081	protein_coding	1.98412698412698	0.15212296502975	28.7033176484603	2.38643739663972	-3.97153974247989	20	4819
Pllp-201	Pllp	ENSMUST00000034227	protein_coding	1.48809523809524	0.107855620430941	20.9065459527071	1.62356020747439	-3.91197513504326	15	3510
Tmem88b-201	Tmem88b	ENSMUST00000097742	protein_coding	1.19047619047619	0.0885070100954723	17.6663291440824	1.31631322078978	-3.89455208247287	12	2966
Hist2h2aa1-201	Hist2h2aa1	ENSMUST00000078756	protein_coding	1.38888888888889	0.0973575883934999	19.9356721662994	1.42097282513497	-3.86742791911853	14	3347
Cnp-202	Cnp	ENSMUST00000147403	processed_transcript	1.28968253968254	0.0946717508833251	17.8152361665376	1.37310762524403	-3.85835270715537	13	2991
Gltp-201	Gltp	ENSMUST00000012028	protein_coding	1.28968253968254	0.0865267835526638	17.3804276609685	1.24458595540838	-3.84635977234985	13	2918
Clic4-201	Clic4	ENSMUST00000037099	protein_coding	1.48809523809524	0.101265051902488	20.1500982786348	1.45159246651287	-3.84141495253814	15	3383
Neat1-201	Neat1	ENSMUST00000173672	lincRNA	1.19047619047619	0.0882223879907299	16.9456191553994	1.25686729417457	-3.8325285045901	12	2845
Tagln2-202	Tagln2	ENSMUST00000111230	protein_coding	0.793650793650794	0.0575734418783505	11.0846387515635	0.813742127797712	-3.82107302868124	8	1861
Cnp-204	Cnp	ENSMUST00000150414	processed_transcript	1.48809523809524	0.107807796659424	19.2030496158199	1.50020169578043	-3.79861063496527	15	3224
Carhsp1-201	Carhsp1	ENSMUST00000008537	protein_coding	0.793650793650794	0.0593913210051816	11.9721246053964	0.825161532173327	-3.79632999660408	8	2010
Ahnak-202	Ahnak	ENSMUST00000092956	protein_coding	0.992063492063492	0.0746898624161098	12.9429983918042	1.02207190352174	-3.77442253947606	10	2173
Lgals3bp-201	Lgals3bp	ENSMUST00000043722	protein_coding	1.38888888888889	0.0952789975394205	17.7199356721663	1.30318654292809	-3.77372753225826	14	2975
Cdc42ep2-201	Cdc42ep2	ENSMUST00000055458	protein_coding	0.892857142857143	0.0623009381284524	12.0495562570731	0.845312525959952	-3.76213758549377	9	2023
Sdc4-201	Sdc4	ENSMUST00000017153	protein_coding	1.98412698412698	0.14693958975361	24.8615164691167	1.97037631216977	-3.74516704600054	20	4174
AI849053-201	AI849053	ENSMUST00000181021	lincRNA	0.892857142857143	0.0654597729783021	11.8291738638394	0.876778704469164	-3.74351186012839	9	1986
Notch1-201	Notch1	ENSMUST00000028288	protein_coding	0.793650793650794	0.0548265896950041	10.0363333134791	0.717929100928269	-3.71086943023604	8	1685
Vim-204	Vim	ENSMUST00000155605	retained_intron	0.793650793650794	0.0587138274444965	10.1614152123414	0.760933809072351	-3.69597607734079	8	1706
Id3-201	Id3	ENSMUST00000008016	protein_coding	2.28174603174603	0.162327382300444	25.4571445589374	2.06757060851998	-3.67095012171451	23	4274
Mog-201	Mog	ENSMUST00000102665	protein_coding	1.68650793650794	0.129371321983362	19.8701530764191	1.64548973626046	-3.66891700029975	17	3336
Igtp-201	Igtp	ENSMUST00000035266	protein_coding	1.09126984126984	0.0780561865825401	13.1216868187504	0.970169260371504	-3.63563458606613	11	2203
Gm42047-202	Gm42047	ENSMUST00000212899	lincRNA	1.58730158730159	0.117439277773017	19.6319018404908	1.44983963439447	-3.62589513807594	16	3296
Ermn-201	Ermn	ENSMUST00000090940	protein_coding	1.48809523809524	0.103981272939958	16.8979689082137	1.27696253060109	-3.61830782148483	15	2837
Id1-202	Id1	ENSMUST00000109824	protein_coding	1.38888888888889	0.106335855152996	16.3559473464769	1.29474435459387	-3.60595477178489	14	2746
Itgb8-201	Itgb8	ENSMUST00000026360	protein_coding	1.38888888888889	0.0997176936720846	16.9694442789922	1.19616414211218	-3.58440878753935	14	2849
Opalin-201	Opalin	ENSMUST00000087176	protein_coding	1.68650793650794	0.124939623043657	18.2500446721067	1.47459465077442	-3.56100487249186	17	3064
Olig1-201	Olig1	ENSMUST00000056882	protein_coding	2.28174603174603	0.168062458604643	25.1116802668414	1.92136431307561	-3.51505386349654	23	4216
Hspb8-201	Hspb8	ENSMUST00000036991	protein_coding	1.09126984126984	0.0763566613873933	11.7755673357556	0.863400562258962	-3.49918688026078	11	1977
Gm20632-201	Gm20632	ENSMUST00000176760	antisense	2.08333333333333	0.151344610897185	23.777473345643	1.71129249024147	-3.49916846415421	21	3992
Litaf-201	Litaf	ENSMUST00000023143	protein_coding	1.28968253968254	0.0901155161766162	14.289117874799	1.00645910998395	-3.48135464206619	13	2399
H2-T23-202	H2-T23	ENSMUST00000174161	retained_intron	1.48809523809524	0.103673581437938	15.5161117398297	1.15109152875684	-3.47286967907424	15	2605
Car2-201	Car2	ENSMUST00000029078	protein_coding	3.07539682539683	0.22738599783453	33.1169217940318	2.51881608197683	-3.46952468921165	31	5560
Ube2l6-201	Ube2l6	ENSMUST00000102642	protein_coding	0.992063492063492	0.073294643975737	10.810649830246	0.798947276495406	-3.44630274144346	10	1815
Cldn11-201	Cldn11	ENSMUST00000046174	protein_coding	2.28174603174603	0.176505572231606	21.1924474358211	1.8962493414344	-3.42535563180481	23	3558
Slc9a3r1-201	Slc9a3r1	ENSMUST00000021077	protein_coding	1.58730158730159	0.108402480869925	15.2302102567157	1.12276075786225	-3.37256884254549	16	2557
Fam181b-201	Fam181b	ENSMUST00000051179	protein_coding	0.992063492063492	0.0711513501616682	10.2686282685091	0.735793938732956	-3.37032043770874	10	1724
Ifit3b-201	Ifit3b	ENSMUST00000076249	protein_coding	2.38095238095238	0.176299281117402	22.7112990648639	1.7699649917651	-3.32761496033991	24	3813
Gfap-201	Gfap	ENSMUST00000067444	protein_coding	3.17460317460317	0.240507066285561	28.7450116147478	2.3928366465324	-3.31456532789855	32	4826
Evi2a-201	Evi2a	ENSMUST00000103236	protein_coding	1.19047619047619	0.0889217930078021	12.5856215379117	0.882083633106404	-3.31029191593311	12	2113
Pnp-201	Pnp	ENSMUST00000048615	protein_coding	1.68650793650794	0.122506580559653	16.2963845374948	1.20928651853737	-3.30321436995421	17	2736
Adamts1-201	Adamts1	ENSMUST00000023610	protein_coding	1.09126984126984	0.0767384929818768	10.1733277741378	0.745526088101023	-3.28021963438131	11	1708
Frmd8-201	Frmd8	ENSMUST00000025728	protein_coding	1.09126984126984	0.0761980186466203	10.6855679313836	0.732963066856502	-3.26589815005241	11	1794
Trim25-202	Trim25	ENSMUST00000100627	protein_coding	1.09126984126984	0.0769119063337782	10.0005956280898	0.715527679857213	-3.21771197991619	11	1679
Tsc22d4-202	Tsc22d4	ENSMUST00000100539	protein_coding	5.05952380952381	0.373333567763467	44.1241288939186	3.46424746622117	-3.21400140632379	51	7408
Trim59-202	Trim59	ENSMUST00000136512	protein_coding	1.19047619047619	0.083200123411126	11.0429447852761	0.768868449421546	-3.20806374245328	12	1854
Cdkn1a-201	Cdkn1a	ENSMUST00000023829	protein_coding	2.57936507936508	0.181152815808148	22.627911132289	1.66166444782844	-3.19734284565396	26	3799
Cebpd-201	Cebpd	ENSMUST00000096232	protein_coding	3.67063492063492	0.265119796164306	30.6748466257669	2.40137070181602	-3.17913698646741	37	5150
Mal-202	Mal	ENSMUST00000028854	protein_coding	2.77777777777778	0.213983643259866	21.7523378402526	1.913385474918	-3.16054913598353	28	3652
Pbxip1-201	Pbxip1	ENSMUST00000038942	protein_coding	1.48809523809524	0.108559045007675	13.1931621895289	0.956412215776216	-3.13914084144208	15	2215
Thrsp-201	Thrsp	ENSMUST00000043077	protein_coding	1.88492063492064	0.133552544406449	15.1408660432426	1.16943451874607	-3.13032214584134	19	2542
Gna12-201	Gna12	ENSMUST00000000153	protein_coding	1.48809523809524	0.0976173194309581	12.0019060098874	0.826681362706191	-3.08210928714444	15	2015
Ifit3-201	Ifit3	ENSMUST00000102825	protein_coding	4.16666666666667	0.313696533248939	31.8422776818155	2.6177055042889	-3.06085726248235	42	5346
Mmd2-201	Mmd2	ENSMUST00000037048	protein_coding	1.88492063492064	0.134763575011273	15.5994996724046	1.11965962172439	-3.05454828951867	19	2619
Ptprz1-206	Ptprz1	ENSMUST00000202579	protein_coding	2.18253968253968	0.154409838287125	16.7967121329442	1.26086416853097	-3.02956808252852	22	2820
Slc16a1-201	Slc16a1	ENSMUST00000046212	protein_coding	2.57936507936508	0.182733047021748	19.983322413485	1.46213951163556	-3.00026459370504	26	3355
Irf7-213	Irf7	ENSMUST00000210506	retained_intron	2.38095238095238	0.181792213303282	19.4413008517482	1.45126128585861	-2.99693803345559	24	3264
Ankrd28-209	Ankrd28	ENSMUST00000227937	retained_intron	1.38888888888889	0.0968689966622945	10.780868425755	0.747732545687497	-2.94840246127177	14	1810
Prdx6-208	Prdx6	ENSMUST00000192639	nonsense_mediated_decay	5.05952380952381	0.373398620207998	35.7495979510394	2.86131516080707	-2.93788655161052	51	6002
Gprc5b-204	Gprc5b	ENSMUST00000208394	protein_coding	1.58730158730159	0.107472989440847	11.644529155995	0.815466813936767	-2.92364039071069	16	1955
Serpina3n-201	Serpina3n	ENSMUST00000021506	protein_coding	4.16666666666667	0.293157149247408	27.7800941092382	2.19323834476183	-2.90331219302037	42	4664
Cavin3-201	Cavin3	ENSMUST00000047040	protein_coding	2.97619047619048	0.209905913773499	20.9541961998928	1.55603562973035	-2.89005443129806	30	3518
Sox8-202	Sox8	ENSMUST00000173447	protein_coding	1.38888888888889	0.0970130426059081	10.4056227291679	0.717176429063052	-2.88606458955931	14	1747
Gnao1-207	Gnao1	ENSMUST00000138659	protein_coding	1.68650793650794	0.122517655356679	12.8953481446185	0.898965904833231	-2.87526656583498	17	2165
Desi1-204	Desi1	ENSMUST00000135988	nonsense_mediated_decay	1.58730158730159	0.105187850195917	11.1799392459348	0.768644869811473	-2.86933728343204	16	1877
Tmem229a-201	Tmem229a	ENSMUST00000127247	protein_coding	2.67857142857143	0.188042296119777	19.3043063910894	1.36896997865672	-2.86395508339137	27	3241
Slc4a4-207	Slc4a4	ENSMUST00000148750	protein_coding	4.06746031746032	0.286492195531308	25.963428435285	2.08374540816459	-2.86260693317491	41	4359
Htra1-203	Htra1	ENSMUST00000150717	retained_intron	1.48809523809524	0.103519883681777	10.352016201084	0.752188426402934	-2.8611741886978	15	1738
Glul-201	Glul	ENSMUST00000086199	protein_coding	4.66269841269841	0.322357759640897	31.0024420751683	2.33683705377258	-2.85781866443192	47	5205
Zfyve21-201	Zfyve21	ENSMUST00000021714	protein_coding	1.38888888888889	0.0978959881345181	10.0661147179701	0.704451822375218	-2.84716671146571	14	1690
Gng12-201	Gng12	ENSMUST00000043148	protein_coding	1.48809523809524	0.103804278514166	10.780868425755	0.742975284709414	-2.83943635484526	15	1810
Rida-201	Rida	ENSMUST00000022946	protein_coding	2.18253968253968	0.153806596126546	14.9562213353982	1.09635768618837	-2.83352120874156	22	2511
Mbp-205	Mbp	ENSMUST00000091789	protein_coding	3.67063492063492	0.258966209268753	21.6749061885759	1.8383978456983	-2.82760845839788	37	3639
Cxcl10-201	Cxcl10	ENSMUST00000038816	protein_coding	1.68650793650794	0.12729262201121	10.2626719876109	0.887825284436489	-2.80211728535932	17	1723
Rab31-201	Rab31	ENSMUST00000070673	protein_coding	2.38095238095238	0.159848760689191	15.5518494252189	1.08143810198533	-2.75816393714643	24	2611
Tjp2-201	Tjp2	ENSMUST00000099558	protein_coding	1.88492063492064	0.134741789857308	13.169337065936	0.911205009997096	-2.75756918675893	19	2211
S1pr5-201	S1pr5	ENSMUST00000122088	protein_coding	1.48809523809524	0.105813857900494	10.2269343022217	0.704769838170117	-2.73561201358735	15	1717
Mobp-204	Mobp	ENSMUST00000174193	nonsense_mediated_decay	2.38095238095238	0.176200684433732	15.8198820656382	1.17093372994509	-2.73236103844974	24	2656
Rhoa-201	Rhoa	ENSMUST00000007959	protein_coding	4.96031746031746	0.337219210701322	30.6569777830723	2.20898659492101	-2.71162240755104	50	5147
Hspa2-202	Hspa2	ENSMUST00000219555	protein_coding	1.68650793650794	0.118621367759646	10.8880814819227	0.775027004707921	-2.70787236730784	17	1828
Plp1-201	Plp1	ENSMUST00000033800	protein_coding	4.66269841269841	0.376876865512105	25.2605872892966	2.45898992158863	-2.70589743722381	47	4241
Ifit1-201	Ifit1	ENSMUST00000102824	protein_coding	4.56349206349206	0.336185474783234	27.5239740306153	2.14533886692608	-2.67387262968138	46	4621
Tubb2b-201	Tubb2b	ENSMUST00000075774	protein_coding	5.25793650793651	0.374803602595796	29.3763773899577	2.34476400247101	-2.64523276540587	53	4932
Ndrg1-201	Ndrg1	ENSMUST00000005256	protein_coding	2.57936507936508	0.177458820588585	15.325510751087	1.10978760533824	-2.6447205752707	26	2573
Oasl2-205	Oasl2	ENSMUST00000144064	nonsense_mediated_decay	2.48015873015873	0.18301691184159	15.6888438858777	1.14341358161936	-2.6432918376158	25	2634
Oat-201	Oat	ENSMUST00000084500	protein_coding	1.88492063492064	0.127837200680414	11.1501578414438	0.793023457443228	-2.63304635274192	19	1872
Actb-201	Actb	ENSMUST00000100497	protein_coding	3.57142857142857	0.23906105187352	21.1507534695336	1.4799687173198	-2.63011061273105	36	3551
Asrgl1-201	Asrgl1	ENSMUST00000049948	protein_coding	3.86904761904762	0.273249363677625	22.6457799749836	1.64433901650096	-2.58921332909579	39	3802
Vamp3-201	Vamp3	ENSMUST00000030797	protein_coding	2.77777777777778	0.189684457107593	16.332122222884	1.14120719913911	-2.58888103838397	28	2742
Ddit4l-201	Ddit4l	ENSMUST00000053855	protein_coding	1.78571428571429	0.129273944590632	10.6974804931801	0.773141243543507	-2.58029118070046	18	1796
Ramp2-202	Ramp2	ENSMUST00000122006	protein_coding	2.38095238095238	0.161458885144362	12.3116326165942	0.939792459463349	-2.54116795672907	24	2067
Phlda3-201	Phlda3	ENSMUST00000038945	protein_coding	7.83730158730159	0.563493245127527	42.2538566918816	3.23940367018511	-2.5232559209449	79	7094
Efnb3-201	Efnb3	ENSMUST00000004036	protein_coding	2.97619047619048	0.21081084950795	16.8443623801299	1.20113498802645	-2.51037163000194	30	2828
Qk-201	Qk	ENSMUST00000042296	protein_coding	8.92857142857143	0.66973411227366	47.2928703317649	3.78549321210016	-2.49881915090671	90	7940
Hist1h1c-201	Hist1h1c	ENSMUST00000040914	protein_coding	2.77777777777778	0.20345579027175	16.2129966049199	1.14648960690013	-2.49443019951415	28	2722
Gna13-201	Gna13	ENSMUST00000020930	protein_coding	2.57936507936508	0.178957887825867	14.0389540770743	1.00448986022365	-2.48876433642551	26	2357
Pou3f1-201	Pou3f1	ENSMUST00000053491	protein_coding	2.38095238095238	0.167346761935432	13.1752933468342	0.923067116275594	-2.46358785614636	24	2212
Enpp2-201	Enpp2	ENSMUST00000041591	protein_coding	2.38095238095238	0.164090584073258	12.8893918637203	0.902274933528116	-2.45906745733308	24	2164
Gprc5b-201	Gprc5b	ENSMUST00000008878	protein_coding	2.38095238095238	0.158186004603611	12.2580260885103	0.850401904933649	-2.4265154408159	24	2058
Fnbp1-201	Fnbp1	ENSMUST00000073879	protein_coding	2.18253968253968	0.149564653347057	11.5611412234201	0.798464432482515	-2.41645104225017	22	1941
Zbtb20-204	Zbtb20	ENSMUST00000114694	protein_coding	13.1944444444444	0.97988037522216	64.030019655727	5.06118863445851	-2.36879751902043	133	10750
Reep3-201	Reep3	ENSMUST00000020023	protein_coding	3.27380952380952	0.226898645301567	16.2963845374948	1.14267851480462	-2.33229457144634	33	2736
Mast3-206	Mast3	ENSMUST00000212140	protein_coding	2.48015873015873	0.171630060411204	12.1805944368336	0.846015097693962	-2.301374450866	25	2045
Rpp25l-201	Rpp25l	ENSMUST00000038434	protein_coding	2.57936507936508	0.171622210317244	11.7040919649771	0.827315282270572	-2.26919429980549	26	1965
Psme2b-201	Psme2b	ENSMUST00000104958	protein_coding	5.95238095238095	0.415034554741766	27.0296027160641	1.99386094338394	-2.26425868197789	60	4538
Slc12a2-201	Slc12a2	ENSMUST00000115366	protein_coding	3.86904761904762	0.273237061515879	17.5769849306093	1.30237610481799	-2.25291687575908	39	2951
Pttg1ip-201	Pttg1ip	ENSMUST00000009435	protein_coding	2.77777777777778	0.188176008165284	12.478408481744	0.887951437042452	-2.23839203350022	28	2095
Lamp2-202	Lamp2	ENSMUST00000061755	protein_coding	3.27380952380952	0.229892411768605	15.0038715825838	1.06688004686991	-2.21436230283966	33	2519
Abca1-201	Abca1	ENSMUST00000030010	protein_coding	2.48015873015873	0.17764914376153	11.4062779200667	0.824355608004766	-2.21422971099248	25	1915
Bpgm-201	Bpgm	ENSMUST00000045372	protein_coding	3.07539682539683	0.203424886122604	13.6398832568944	0.943276325781146	-2.21317871395568	31	2290
Syf2-201	Syf2	ENSMUST00000030622	protein_coding	2.28174603174603	0.157611899444834	10.3817976055751	0.725739032171439	-2.20306723849376	23	1743
Phlpp1-201	Phlpp1	ENSMUST00000061047	protein_coding	3.27380952380952	0.219661776412773	14.5392816725237	1.00323515158618	-2.19129892211374	33	2441
Tubb4b-201	Tubb4b	ENSMUST00000043584	protein_coding	5.55555555555556	0.378597606888708	23.4022276490559	1.71601132901131	-2.18031891063919	56	3929
Slain1-201	Slain1	ENSMUST00000069443	protein_coding	2.87698412698413	0.198292566567893	12.8476978974328	0.893010410559241	-2.1710407381114	29	2157
Jam3-201	Jam3	ENSMUST00000034472	protein_coding	2.77777777777778	0.187049887891113	12.0019060098874	0.831823105446289	-2.15284767940253	28	2015
Scand1-201	Scand1	ENSMUST00000079125	protein_coding	8.23412698412698	0.569533137289463	34.0401453332539	2.49613323097528	-2.13184129470416	83	5715
Ddit4-201	Ddit4	ENSMUST00000020308	protein_coding	2.97619047619048	0.208511981885222	12.9906486389898	0.906866304044715	-2.12075425833785	30	2181
Rab9-202	Rab9	ENSMUST00000112091	protein_coding	3.76984126984127	0.259505545365926	15.956876526297	1.12717579663645	-2.11887098631952	38	2679
Serinc5-201	Serinc5	ENSMUST00000049488	protein_coding	3.07539682539683	0.221480998063466	13.6398832568944	0.959125452031132	-2.11453159182405	31	2290
